Date : 2024-06-25 15:40:52 / CPU : 16 %
Date : 2024-06-25 15:40:55 / CPU : 12 %
Date : 2024-06-25 15:40:57 / CPU : 64 %
Date : 2024-06-25 15:40:59 / CPU : 36 %
Date : 2024-06-25 15:41:02 / CPU : 95 %
Date : 2024-06-25 15:41:04 / CPU : 35 %
Date : 2024-06-25 15:41:06 / CPU : 38 %
Date : 2024-06-25 15:41:09 / CPU : 42 %
Date : 2024-06-25 15:41:11 / CPU : 34 %
Date : 2024-06-25 15:41:13 / CPU : 30 %
Date : 2024-06-25 15:41:16 / CPU : 31 %
Date : 2024-06-25 15:41:18 / CPU : 44 %
Date : 2024-06-25 15:41:20 / CPU : 38 %
Date : 2024-06-25 15:41:23 / CPU : 34 %
Date : 2024-06-25 15:41:25 / CPU : 34 %
Date : 2024-06-25 15:41:27 / CPU : 41 %
Date : 2024-06-25 15:41:30 / CPU : 46 %
Date : 2024-06-25 15:41:32 / CPU : 34 %
Date : 2024-06-25 15:41:34 / CPU : 41 %
Date : 2024-06-25 15:41:37 / CPU : 41 %
Date : 2024-06-25 15:41:39 / CPU : 32 %
Date : 2024-06-25 15:41:42 / CPU : 40 %
Date : 2024-06-25 15:41:44 / CPU : 37 %
Date : 2024-06-25 15:41:46 / CPU : 38 %
Date : 2024-06-25 15:41:49 / CPU : 37 %
Date : 2024-06-25 15:41:51 / CPU : 44 %
Date : 2024-06-25 15:41:54 / CPU : 43 %
Date : 2024-06-25 15:41:56 / CPU : 32 %
Date : 2024-06-25 15:41:58 / CPU : 39 %
Date : 2024-06-25 15:42:01 / CPU : 40 %
Date : 2024-06-25 15:42:03 / CPU : 31 %
Date : 2024-06-25 15:42:05 / CPU : 42 %
